date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other,Mkt-RF,Mkt,RF,TB3MS
199101,5.15,7.29,6.44,-2.01,14.96,0.18,9.42,4.53,-1.37,7.48,4.69,5.21,0.52,6.22
199102,10.29,10.24,5.96,8.39,6.41,3.41,8.03,9.85,4.83,9.7,7.19,7.67,0.48,5.94
199103,4.78,1.16,1.36,1.28,0.75,2.34,8.63,5.43,1.71,3.06,2.65,3.09,0.44,5.91
199104,-0.96,-2.35,0.39,2.53,-2.89,1.12,1.94,-1.12,-0.03,1.3,-0.28,0.25,0.53,5.65
199105,3.59,14.72,7.38,-1.39,3.61,-1.45,7.54,4.61,0.16,4.99,3.65,4.12,0.47,5.46
199106,-4.95,-4.46,-4.21,-3.7,-8.82,-1.9,-4.17,-4.16,-2.37,-5.21,-4.94,-4.52,0.42,5.57
199107,5.67,-0.41,3.17,5.02,4.63,3.2,5.39,8.44,3.99,4.69,4.24,4.73,0.49,5.58
199108,5.4,-2.14,1.96,1.75,2.81,0.84,3.68,2.86,3.53,3.1,2.32,2.78,0.46,5.33
199109,-3.25,-2.68,-2.29,-0.7,-1.3,0.54,-3.24,-0.4,3.73,-0.56,-1.59,-1.13,0.46,5.22
199110,-0.6,-1.99,1.52,2.03,1.99,2.11,-1.96,6.64,1.23,2.33,1.29,1.71,0.42,4.99
199111,-0.52,-7.97,-5.45,-7.67,-4.37,-4.92,-1.21,-2.55,1.89,-5.37,-4.19,-3.8,0.39,4.56
199112,14.63,7.64,11.51,1.94,9.13,9.83,13.02,16.47,5.01,12.6,10.84,11.22,0.38,4.07
199201,-3.05,10.49,2.2,-4.15,6.63,-2.62,0.34,-5.55,-4.58,2.11,-0.59,-0.25,0.34,3.8
199202,1.1,12.28,2.04,-0.52,3.86,-1.21,2.6,-2.59,-1.23,3.15,1.09,1.37,0.28,3.84
199203,-1.56,0.79,-1.25,-2.78,-5.17,-0.98,-1.33,-5.46,-0.53,-2.15,-2.66,-2.32,0.34,4.04
199204,0.74,7.9,2.99,9.47,-1.02,6.85,-3.48,-2.15,2.68,0.52,1.07,1.39,0.32,3.75
199205,1.38,-1.92,-0.55,3.2,0.03,-1.7,0.17,1.08,2.54,1.53,0.3,0.58,0.28,3.63
199206,-2.88,2.16,-3.3,-3.48,-4.09,1.24,-1.9,-4.68,0.54,-0.01,-2.34,-2.02,0.32,3.66
199207,4.67,0.43,3.02,5.35,2.98,5.37,3.84,5.72,6.69,3.2,3.77,4.08,0.31,3.21
199208,0.85,-9.46,-3.53,2.57,-4.55,-1.05,-0.54,-3.31,-0.49,-3.41,-2.38,-2.12,0.26,3.13
199209,1.1,0.29,1.81,0.14,3.36,1.81,4.05,-4.9,0.82,3.46,1.19,1.45,0.26,2.91
199210,-0.85,0.06,0.82,-3.46,2.12,-0.53,4.32,3.32,-0.42,2.96,1.02,1.25,0.23,2.86
199211,3.65,8.64,3.96,-2.64,6.35,4.29,7.19,4.87,-0.24,6.02,4.13,4.36,0.23,3.13
199212,0.08,3.37,1.48,1.92,0,5.57,0.62,-1.4,2.7,3.83,1.53,1.81,0.28,3.22
199301,-0.78,9.48,-0.04,2.75,4.84,1.16,0.03,-6.77,2.45,3.28,0.93,1.16,0.23,3
199302,-2.05,-0.28,1.65,6.01,-0.35,5.72,-1.52,-8.94,6.21,0.42,0.12,0.34,0.22,2.93
199303,0.01,5.45,2.25,4.1,2.21,3.26,2.78,0.81,1.77,3.9,2.3,2.55,0.25,2.95
199304,-9.24,2.31,-0.09,1.18,-3.68,-2.87,-8.14,1.31,-0.15,-3.22,-3.05,-2.81,0.24,2.87
199305,2.67,1.08,2.38,1.74,8.78,4.23,5.87,3.61,-0.06,1.71,2.89,3.11,0.22,2.96
199306,-0.75,3.31,-0.21,-1.12,-0.43,4.64,-2.89,-2.93,3.18,2.21,0.31,0.56,0.25,3.07
199307,-2.36,1.68,-0.02,0.48,-3.89,2.15,0.65,-5.99,1.95,2.06,-0.34,-0.1,0.24,3.04
199308,4.28,0.5,3.43,4.22,6.41,5.47,3.97,3.06,3.67,3.46,3.71,3.96,0.25,3.02
199309,-1.79,0.82,-1.96,1.44,1.33,-0.48,-0.33,0.92,-0.63,1.69,-0.12,0.14,0.26,2.95
199310,6.09,7.51,3.17,-1.87,1.6,2.59,4.61,6,-1.96,-2.28,1.41,1.63,0.22,3.02
199311,0.67,0.84,1.18,-5.89,0.01,-6.04,0.68,1.11,-5.51,-2.8,-1.89,-1.64,0.25,3.1
199312,1.46,4.51,3.73,0.53,2.98,-0.44,-2.09,2.49,1.61,2.61,1.65,1.88,0.23,3.06
199401,-0.44,6.96,4.82,4.86,4.72,2.01,0.61,1.92,-1.22,4.42,2.87,3.12,0.25,2.98
199402,-1.28,-4.36,-0.61,-2.97,1.66,-5.53,1.98,-5.55,-4.95,-3.9,-2.55,-2.34,0.21,3.25
199403,-4.05,-6.42,-4.39,-3.63,-3.89,-3.74,-4.62,-6.72,-3.93,-4.3,-4.78,-4.51,0.27,3.5
199404,1.22,-0.45,0.09,4.13,-1.6,1.42,0.25,2.4,2.11,1.25,0.68,0.95,0.27,3.68
199405,-1.33,-2.77,2.09,0.89,2.09,1.66,-1.91,4.37,-5.35,3,0.58,0.89,0.31,4.14
199406,-1.83,-3.43,-2.56,-2.68,-5.23,0.71,-2.62,-3.69,-3.13,-2.64,-3.03,-2.72,0.31,4.14
199407,2.94,3.7,4.55,3.3,3.87,3.2,0.81,1.04,5.16,2.65,2.82,3.1,0.28,4.33
199408,6.05,-0.23,4.76,-0.06,9.27,1.16,4.59,10.71,0.66,3.47,4.01,4.38,0.37,4.48
199409,-0.32,-5.06,-1.65,-2.08,-0.49,-1.1,-2.33,1.73,-2.78,-4.23,-2.31,-1.94,0.37,4.62
199410,2.16,-1.46,0.59,7.37,7.23,-0.09,1.22,0.88,1.56,0.15,1.34,1.72,0.38,4.95
199411,-1.66,-5.07,-5.45,-4.84,-2.14,-5.45,-3.39,0.43,0.26,-5.18,-4.04,-3.67,0.37,5.29
199412,1.32,3.83,4.08,-0.99,2.5,0.9,-2.86,0.52,0.35,1.47,0.86,1.3,0.44,5.6
199501,1.84,-5.84,-0.39,0.37,-0.82,4.2,1.53,6.15,6.23,4.72,1.8,2.22,0.42,5.71
199502,3,5.07,5.51,4.48,6.75,1.51,2.68,2.24,0.82,4.86,3.63,4.03,0.4,5.77
199503,2.73,1.44,3.5,5.27,4.52,0.28,3.49,2.69,-1.75,1.98,2.19,2.65,0.46,5.73
199504,1.84,1.41,2.98,2.34,8.29,1.59,-1.67,3.07,2.38,1.61,2.11,2.55,0.44,5.65
199505,4.72,4.84,3.18,4.08,3.08,0.63,2.7,1.63,6.01,4.47,2.9,3.44,0.54,5.67
199506,1.69,0.83,2.09,-3.09,9.79,3.86,4.92,4.46,-0.46,2.15,2.72,3.19,0.47,5.47
199507,1.25,2.65,3.52,2.3,7.91,5.14,3.53,5.31,-0.38,4.87,3.72,4.17,0.45,5.42
199508,0.68,0.72,-0.18,-1.61,-0.08,4.33,-2.8,1.04,0.98,3.72,0.55,1.02,0.47,5.4
199509,6.69,-0.52,2.25,1.31,1.28,5.63,2.76,7.46,6.24,4.57,3.35,3.78,0.43,5.28
199510,0.36,-4.78,-2.69,-0.24,1.45,-0.12,-5.51,1.15,1.48,-2.05,-1.52,-1.05,0.47,5.28
199511,4.51,5.45,6.49,4.76,-0.68,2.8,6.15,4.95,1.56,6.17,3.96,4.38,0.42,5.36
199512,1.7,3.15,1.54,5.79,-4.2,3.94,-0.81,5.93,5.06,1.13,1.03,1.52,0.49,5.14
199601,2.67,3.49,3.36,-0.36,1.95,2.33,-0.35,5.95,1.91,3.52,2.26,2.69,0.43,5
199602,3.12,2.02,0.9,1.05,6.33,-2.2,4.35,-1.07,-2.58,2.23,1.33,1.72,0.39,4.83
199603,-0.94,4.28,3.48,4.98,-3.42,-1.87,5.96,0.24,-0.47,1.7,0.73,1.12,0.39,4.96
199604,0.1,3.54,1.64,3.44,10.01,2.7,4.22,-0.6,-2.59,0.19,2.06,2.52,0.46,4.95
199605,6.56,2.24,2.36,0.48,3.85,0.06,4.4,3.93,1.35,1.58,2.36,2.78,0.42,5.02
199606,3.24,-4.93,-0.46,0.92,-4.92,0.43,-1.61,-0.19,5.21,-0.25,-1.14,-0.74,0.4,5.09
199607,-4.1,-4.18,-4,-4.67,-7.52,-8.54,-7.51,-6.06,-5.82,-4.32,-5.97,-5.52,0.45,5.15
199608,-0.75,3.16,3.24,2.97,4.42,-0.92,5.84,4.19,2.89,3.91,2.77,3.18,0.41,5.05
199609,3.68,2.39,6.14,4,10.58,1.52,3.53,7.34,0.67,5.07,5.01,5.45,0.44,5.09
199610,1.78,0.13,1.62,5.84,-1.25,-0.73,-2.22,-0.68,3.61,3.96,0.86,1.28,0.42,4.99
199611,5.13,6.01,6.09,5.53,12.02,5.65,3.12,6.66,2.61,7.53,6.25,6.66,0.41,5.03
199612,0.51,-3.19,-0.42,0.8,-2.53,2.63,-3.46,-2.66,0.14,-1.8,-1.7,-1.24,0.46,4.91
199701,5.58,3.16,4.25,4.32,9.38,2.34,0.17,9.55,0.9,6.04,4.98,5.43,0.45,5.03
199702,4.09,0.35,0.81,-5.69,-7.44,2.28,3.08,0.94,-0.57,2.6,-0.49,-0.1,0.39,5.01
199703,-5.12,-3.94,-3.73,5.21,-5.55,-7.6,-1.29,-7.4,-2.76,-5.89,-5.02,-4.59,0.43,5.14
199704,5.19,2.31,5.34,0.05,8.15,2.54,2.21,6.16,-1.39,5.23,4.04,4.47,0.43,5.16
199705,5.89,6.67,7.81,7.33,10.14,6.64,6.04,6.91,3.77,6.25,6.74,7.23,0.49,5.05
199706,3.53,3.9,5.21,1.31,1.34,3.78,5.02,8.89,3.06,5.37,4.1,4.47,0.37,4.93
199707,3.35,7.46,7.15,7.4,15.96,2.75,7.78,2.06,2.81,9.23,7.33,7.76,0.43,5.05
199708,-6.25,1.37,-5.56,0.24,-1.3,-2.28,-2.58,-6.14,-1.16,-4.79,-4.15,-3.74,0.41,5.14
199709,5.56,5.34,3.31,6.3,3.47,9.68,5.19,6.61,4.65,7.91,5.35,5.79,0.44,4.95
199710,-3.14,-3.3,-5.89,-2.01,-8.42,3.33,-2.2,0.26,0.94,-2.63,-3.8,-3.38,0.42,4.97
199711,6.45,-1.63,4.23,-3.55,1.46,10.26,5.35,2.86,7.14,3.02,2.98,3.37,0.39,5.14
199712,3.78,4.1,-0.25,-1.51,-4.18,4.56,-0.24,3.55,7.97,5.34,1.32,1.8,0.48,5.16
199801,-2.89,0.55,0.72,-5.73,5.25,4.84,0.91,5.73,-4.37,-2.12,0.15,0.58,0.43,5.04
199802,5.14,12.28,7.12,6.83,10.42,2.62,10.38,5.45,2.65,8.19,7.04,7.43,0.39,5.09
199803,5.72,6.24,4.87,4.8,1.33,9.81,6.55,3.61,6.77,5.79,4.76,5.15,0.39,5.03
199804,-3.1,0.99,1.25,3.8,5.08,-3.03,-0.38,1.92,-2.51,1.82,0.73,1.16,0.43,4.95
199805,1.08,7.2,-2.47,-4.2,-6.95,-1.65,2.14,-2.47,-0.88,-3.01,-3.07,-2.67,0.4,5
199806,3.8,1.8,-0.57,-1.36,8.73,3.21,4.81,6.18,2.84,3.13,3.18,3.59,0.41,4.98
199807,-4.07,-1.32,-5.76,-6.79,0.47,3.83,-3.1,-0.22,-5.34,-1.71,-2.46,-2.06,0.4,4.96
199808,-12.99,-19.17,-14.29,-10.41,-17.6,-11.74,-14.24,-12.26,2.25,-21.36,-16.08,-15.65,0.43,4.9
199809,1.3,1.55,0.57,13.01,15.2,10.02,1.48,12,7.98,2.68,6.15,6.61,0.46,4.61
199810,10.8,11.71,11.19,1.28,6.35,6.82,10.56,3.85,-1.76,8.98,7.13,7.45,0.32,3.96
199811,6.33,4.84,3.59,0.45,11.62,3.67,9.55,6.18,1.35,6.2,6.1,6.41,0.31,4.41
199812,0.51,4.26,2.33,-1.16,15.25,14.32,8.97,5.02,2.83,3.6,6.16,6.54,0.38,4.39
199901,-3.41,5.43,0.56,-5.51,15.09,8.79,2.36,0.24,-6.26,1.11,3.5,3.85,0.35,4.34
199902,-3.78,-4.31,-1.95,-3.17,-11.46,-2.92,-1.5,0.23,-3.78,-0.01,-4.08,-3.73,0.35,4.44
199903,-1.96,-0.84,4.75,15.42,8.51,-0.66,2.79,2.55,-1.69,2.41,3.45,3.88,0.43,4.44
199904,3.76,10.33,9.27,15.91,2.36,8.33,0.51,-5.54,7.18,6.77,4.33,4.7,0.37,4.29
199905,1.41,-5.54,-3.17,-3.13,-0.67,1.03,-2.88,-2.05,6.72,-3.52,-2.46,-2.12,0.34,4.5
199906,0.33,0.59,4.56,-1.48,11.72,5.85,7.92,4.49,-4.29,3.24,4.77,5.17,0.4,4.57
199907,-2.48,-5.97,-1.1,1.65,-1.8,-1.61,-5.02,-4.44,-0.61,-6.06,-3.47,-3.09,0.38,4.55
199908,-4.63,1.12,-0.36,1.86,5.45,-7.57,-5.97,3.72,0.62,-5.12,-1.38,-0.99,0.39,4.72
199909,-6.78,-7.76,-2.82,-3.88,-0.21,4.45,1.45,-7.09,-4.31,-4.39,-2.81,-2.42,0.39,4.68
199910,6.46,4.44,4.37,-1.58,3.25,9.53,3.34,10.78,2.17,11.42,6.13,6.52,0.39,4.86
199911,-1.23,-1.93,-1.04,3.78,12.87,4.29,4.18,1.5,-7.45,-2.25,3.37,3.73,0.36,5.07
199912,-2.5,2.88,9.79,0.68,20.76,4.18,6.46,-5.64,-2.34,1.43,7.72,8.16,0.44,5.2
200001,-4.77,-0.87,-7.99,0.9,-4.71,-4.04,-11.23,7.56,5.75,-4.64,-4.74,-4.33,0.41,5.32
200002,-6.19,-7.95,-4.24,-5.44,18.18,-3.59,-3.86,-2.88,-7.26,-6.98,2.45,2.88,0.43,5.55
200003,7.74,10.51,8.36,12.26,3.95,7.57,13.28,0.28,5.77,14.12,5.2,5.67,0.47,5.69
200004,-1.82,9.27,0.96,-1.98,-10.69,-7.9,-4.27,5.25,7.6,-3.41,-6.4,-5.94,0.46,5.66
200005,7.22,-13.22,-1.41,9.44,-10.84,-10.41,-2.7,3.94,3.9,3.46,-4.42,-3.92,0.5,5.79
200006,2.39,-9.48,-1.14,-5.17,13.03,4.18,-2.32,11.52,-4.76,-2.81,4.64,5.04,0.4,5.69
200007,0.79,4.61,-0.63,-2.61,-5.18,-7.41,-1.37,-6.16,4.43,5.55,-2.51,-2.03,0.48,5.96
200008,-1.81,4.57,6.96,8.91,12.56,-0.96,-2.45,3.58,11.72,9.08,7.03,7.53,0.5,6.09
200009,3.46,-4.1,-6.06,4.37,-14.99,-4.07,2.7,3.72,9.63,0.36,-5.45,-4.94,0.51,6
200010,7.63,1.88,4.58,-3.05,-7.28,-0.42,-1.51,2.6,-2.24,-1.07,-2.76,-2.2,0.56,6.11
200011,2.78,-11.21,-3.63,-2.95,-23.36,-15.51,-1.37,0.79,3.1,-5.95,-10.72,-10.21,0.51,6.17
200012,5.46,1.07,7.15,7.75,-7.95,-4.38,5.62,3.53,6.58,7.18,1.19,1.69,0.5,5.77
200101,-1.92,13.2,-0.13,-3.39,16.53,14.39,6.63,-8.94,-10.77,0.05,3.13,3.67,0.54,5.15
200102,0.18,-1.25,-4.29,0.12,-25.96,-9.89,-5.35,-0.5,6.24,-4.38,-10.05,-9.67,0.38,4.88
200103,-4.65,-3.06,-7.31,-0.31,-13.59,-5.69,-2.87,-8.44,1.64,-4.11,-7.26,-6.84,0.42,4.42
200104,0.93,8.44,8.48,10.32,17.99,2.51,5.6,3.99,5.46,5.78,7.94,8.33,0.39,3.87
200105,3.35,-2.32,2.89,0.09,-3.33,-1.28,1.6,3.03,0.01,3.75,0.72,1.04,0.32,3.62
200106,-1.61,3.48,-4.52,-7.71,1.48,-3,-2.49,-2.85,-6.22,0.03,-1.94,-1.66,0.28,3.49
200107,-0.19,3.28,0.5,-2.55,-7.58,-0.67,4.59,2.3,-3.66,-2.27,-2.13,-1.83,0.3,3.51
200108,2.51,-11.36,-1.91,-3.59,-12.65,-9.24,-6.98,-3.11,0.42,-5.33,-6.46,-6.15,0.31,3.36
200109,-2.57,-16.9,-12.76,-5.65,-18.94,-2.45,-9.6,-0.59,-6.39,-8.3,-9.25,-8.97,0.28,2.64
200110,1.08,0.9,3.88,4.78,15.68,-9.39,1.64,1.18,1.41,-0.58,2.46,2.68,0.22,2.16
200111,2.08,15.5,8.35,-4.11,15.92,6.09,10.14,5.04,-1.63,7.92,7.54,7.71,0.17,1.87
200112,2.02,-0.91,2.67,6.16,-0.59,2.74,4.51,-2.88,3.85,3.3,1.61,1.76,0.15,1.69
200201,1.92,2.94,1.65,-2.99,-0.56,-7.14,2.76,-2.36,-4.07,-2.92,-1.44,-1.3,0.14,1.65
200202,4.36,3.05,4.31,5.19,-13.2,-2.39,-0.09,-0.51,-0.25,-0.52,-2.29,-2.16,0.13,1.72
200203,3.74,6.92,4.96,7.81,6.43,0.31,2.03,0.46,10.04,5.43,4.24,4.37,0.13,1.79
200204,2.66,1.74,-1.48,-4.4,-11.76,-12.71,-1.38,-7.59,-0.56,-3.74,-5.2,-5.05,0.15,1.71
200205,1.44,-0.21,-0.31,-0.59,-3.78,3.01,-1.26,-2.23,-6.47,-0.39,-1.38,-1.24,0.14,1.73
200206,-5.79,-8.11,-3.11,-0.44,-12.21,-14.4,-5.08,-9.6,-5.36,-5.38,-7.21,-7.08,0.13,1.7
200207,-6.72,-12.26,-8.51,-11.95,-9.63,-11.67,-11.31,-2.55,-12.3,-6.41,-8.18,-8.03,0.15,1.68
200208,2.49,0.38,-1.27,0.54,-0.87,0.33,1.9,0.66,3.38,1.14,0.5,0.64,0.14,1.62
200209,-7.68,-11.08,-8.26,-8.13,-16.74,-9.3,-9.4,-5.86,-10.86,-10.7,-10.35,-10.21,0.14,1.63
200210,5.22,-3.3,3.89,3.28,19.41,21.36,5.7,5.69,-0.68,6.38,7.84,7.98,0.14,1.58
200211,-1.27,12.07,6.23,3.17,16.14,11.76,1.93,3.7,1.62,4.61,5.96,6.08,0.12,1.23
200212,0,-7.26,-3.76,0.76,-13.03,-9.07,-6.94,-4.06,3.85,-4.98,-5.76,-5.65,0.11,1.19
200301,-4.78,-3.23,-4.07,-2.41,-1.47,-3.53,-4.77,-0.6,-3.17,-2.32,-2.57,-2.47,0.1,1.17
200302,-3.11,-5.05,-2.16,1.98,1.27,-6.44,-1.21,-1.94,-3.92,-2.62,-1.88,-1.79,0.09,1.17
200303,-2.67,-2.76,1.31,1.18,-0.97,-0.6,4.61,3.79,4.35,0.75,1.09,1.19,0.1,1.13
200304,4.7,15.18,6.39,-0.57,9.27,11.15,8.9,4.32,7.44,11.78,8.22,8.32,0.1,1.13
200305,9.22,2.85,4.63,8.91,9.77,6.16,3.41,3.91,10.11,5.3,6.05,6.14,0.09,1.07
200306,1.57,2.68,0.54,-1.21,0.25,1.97,3.46,4.11,0.66,0.94,1.42,1.52,0.1,0.92
200307,-2.33,6.6,4.95,-2.7,5.67,-1.65,3.32,0.62,-5.25,3.53,2.35,2.42,0.07,0.9
200308,0.66,7.86,4.19,6.26,6.05,1.34,6.76,-2.53,1.91,0.61,2.34,2.41,0.07,0.95
200309,1.11,-4.07,-3.74,-2.31,-0.89,-5.65,-4.53,0.24,3.9,0.35,-1.24,-1.16,0.08,0.94
200310,5.59,6.97,8.86,1.54,8.23,6.66,9.03,0.72,1.58,6.42,6.08,6.15,0.07,0.92
200311,3.78,3.09,2.08,0.61,1.89,-0.63,0.58,1.63,0.94,1.11,1.35,1.42,0.07,0.93
200312,3.31,12.3,6.75,13.58,2.1,7.39,-2.13,5.68,5.81,4.48,4.29,4.37,0.08,0.9
200401,0.12,-1.12,-0.62,0.45,4.5,1.42,0.45,3.04,1.92,2.72,2.15,2.22,0.07,0.88
200402,4.28,-0.11,1.99,4.69,-2.93,-0.79,6.08,0.91,2.06,2.02,1.4,1.46,0.06,0.93
200403,-0.3,-1.15,-0.22,-0.16,-2.54,-2.44,0.3,-3.91,1.17,-0.61,-1.32,-1.23,0.09,0.94
200404,1.51,2.38,-0.19,2.48,-4.9,-0.51,-2.68,3.57,-3.51,-3.84,-1.83,-1.75,0.08,0.94
200405,-2.19,-1.61,1.59,0.42,4.83,-2.95,0.27,-0.38,1.28,2.08,1.17,1.23,0.06,1.02
200406,1.87,5.08,5.35,5.49,2.63,0.56,0.07,-0.38,2.01,1.51,1.86,1.94,0.08,1.27
200407,-5.83,-4.69,-4.04,3.28,-8.49,-1.27,-3.98,-5.87,1.05,-2.4,-4.06,-3.96,0.1,1.33
200408,0.83,-2.3,1.27,-1.24,-4.43,1.28,-1.15,1.66,3.67,1.93,0.08,0.19,0.11,1.48
200409,-1.76,2.45,1.91,8.88,3.29,1.34,2.58,-1.41,1.42,1.24,1.6,1.71,0.11,1.65
200410,2.87,-2.65,-1.37,0.66,5.03,3.36,3.08,-2.41,4.23,1.22,1.43,1.54,0.11,1.76
200411,4.52,7.18,7.17,6.56,5.84,3.42,3.61,0.66,4.92,4.96,4.54,4.69,0.15,2.07