date,RF,S--L,S--2,S--3,S--4,S--H,2--L,2--2,2--3,2--4,2--H,3--L,3--2,3--3,3--4,3--H,4--L,4--2,4--3,4--4,4--H,Mkt-RF,Mkt,Mkt-RF3,RF3
19630728,0.0027,0.0058,-0.0012,0.004,-0.0016,-0.016,-0.0214,0.0002,-0.0112,-0.0217,-0.0146,-0.0211,-0.021,-0.0112,-0.0242,-0.0207,-0.0108,-0.0185,-0.0244,-0.021,-0.0213,-0.0044,-0.0017,-0.0044,0.27
19630828,0.0025,0.0355,0.0187,0.0074,0.0214,0.0438,0.0515,0.044,0.0425,0.0408,0.0798,0.0511,0.0437,0.0527,0.0444,0.049,0.0533,0.0458,0.059,0.0677,0.0509,0.0502,0.0527,0.0501,0.26
19630928,0.0027,-0.0297,0.0003,-0.0149,-0.0186,-0.0064,-0.0419,-0.0184,-0.0082,-0.0139,-0.0318,-0.0491,-0.0187,-0.0089,-0.0032,-0.0209,-0.0285,-0.0219,-0.0226,-0.0364,-0.0226,-0.0146,-0.0119,-0.014533333,0.263333333
19631028,0.0029,0.0107,-0.0083,0.0095,-0.002,0.0207,0.0091,0.0401,0.0202,0.0188,0.0365,0.0197,0.0022,0.024,0.0143,0.0078,-0.0055,0.0049,0.0212,0.0436,0.0034,0.0248,0.0277,0.025,0.27
19631128,0.0027,-0.0337,-0.0442,-0.018,-0.0129,-0.0134,-0.0444,-0.0203,-0.0103,-0.0035,-0.0037,-0.0319,-0.018,-0.0113,-0.0146,-0.0148,-0.0126,-0.0118,-0.0068,0.0054,0.0324,-0.0083,-0.0056,-0.008366667,0.276666667
19631228,0.0029,-0.0323,-0.0065,-0.0105,-0.0195,-0.0133,-0.0097,-0.012,0.0079,0.0069,-0.0016,0.0032,0.0085,0.0127,0.0107,0.0018,-0.0045,0.0121,0.011,0.0227,0.0585,0.0188,0.0217,0.018866667,0.283333333
19640128,0.003,0.0364,0.0266,0.0397,0.0383,0.0457,-0.0208,-0.0091,0.033,0.0122,0.0391,0.0021,0.0031,0.0216,0.0356,0.0291,-0.0064,0.0144,0.0107,0.0305,0.0302,0.0228,0.0258,0.022933333,0.286666667
19640228,0.0026,0.0287,0.0225,0.0191,0.0005,0.0427,0.0136,0.0148,0.0226,0.0176,0.0583,0.0005,0.0254,0.0159,0.0322,0.0375,0.0243,0.0092,0.0306,0.0732,0.0434,0.0146,0.0172,0.014366667,0.283333333
19640328,0.0031,0.0032,0.0097,0.018,0.0324,0.0246,0.02,0.0294,0.033,0.054,0.0582,-0.0095,0.0231,0.0429,0.0472,0.0641,0.0156,0.0233,0.0537,0.0606,0.0044,0.0145,0.0176,0.0147,0.29
19640428,0.0029,-0.0199,0.0213,-0.005,-0.0116,-0.0129,-0.0104,-0.0433,0.0021,-0.0177,-0.009,-0.023,-0.0142,-0.0003,-0.0105,-0.0131,-0.0296,0.0047,0.0118,-0.0162,-0.0255,0.0017,0.0046,0.001733333,0.286666667
19640528,0.0026,-0.0166,-0.0119,0.0012,0.0008,0.0128,0.0285,0.0009,0.026,0.0157,0.0351,-0.0073,0.0124,-0.0063,0.0111,0.0223,0.0092,0.0206,0.0105,0.0166,0.0384,0.0148,0.0174,0.014533333,0.286666667
19640628,0.003,0.0161,-0.0005,0.0135,0.0051,0.0081,0.006,0.0139,0.012,0.0086,0.0188,0.0058,0.0192,0.0211,0.0201,0.0094,0.0086,0.0091,0.0111,0.0198,0.0279,0.0121,0.0151,0.012266667,0.283333333
19640728,0.003,0.0054,0.0355,0.0294,0.0234,0.0444,0.0076,0.013,0.0387,0.0284,0.0215,0.0212,0.0228,0.0282,0.0289,0.0094,0.0128,0.0333,0.0144,0.013,0.0274,0.0171,0.0201,0.017233333,0.286666667
19640828,0.0028,0.0093,-0.0218,-0.0203,-0.012,-0.0077,-0.0207,-0.0284,-0.0137,-0.002,-0.0194,-0.0311,-0.0104,0.0022,-0.0043,-0.023,-0.0137,0.0007,0.01,-0.003,-0.0094,-0.0141,-0.0113,-0.014233333,0.293333333
19640928,0.0028,0.0432,0.0377,0.0559,0.0246,0.0371,0.0326,0.02,0.0226,0.0181,0.0426,0.0111,0.0166,0.0291,0.0298,0.0343,0.0287,0.0277,0.0398,0.0438,0.0399,0.0277,0.0305,0.027633333,0.286666667
19641028,0.0029,0.0159,0.0006,0.0226,0.019,0.0309,-0.0177,0.0156,0.0182,0.0094,0.0119,0.0316,0.0318,0.015,0.0103,0.0243,0.0074,0.0079,0.0091,0.027,0.0347,0.006,0.0089,0.006066667,0.283333333
19641128,0.0029,-0.0044,-0.0069,0.0039,0.0045,0.0029,-0.0098,-0.0051,-0.0024,-0.0087,-0.0211,0.0121,0.0017,-0.0036,0.0019,-0.0012,0.0042,0.0113,-0.0127,-0.0089,-0.0502,0.0002,0.0031,0.000233333,0.286666667
19641228,0.0031,-0.0184,-0.0168,-0.0264,-0.0292,-0.0224,0.0112,-0.0024,0.0043,-0.019,-0.0185,-0.003,0.006,-0.0075,-0.0211,-0.012,0.0076,-0.0017,-0.0184,-0.0152,-0.0164,0.0006,0.0037,0.000733333,0.296666667
19650128,0.0028,0.0851,0.0555,0.0564,0.0693,0.0863,0.0738,0.0577,0.051,0.0543,0.0619,0.0497,0.0595,0.0502,0.056,0.0669,0.063,0.037,0.0511,0.0466,0.0653,0.0359,0.0387,0.035766667,0.293333333
19650228,0.003,0.0147,0.0075,0.0229,0.0277,0.0315,0.0311,0.0376,0.0338,0.0305,0.0349,0.035,0.0461,0.0444,0.026,0.0306,0.0111,0.0306,0.0343,0.026,0.0136,0.004,0.007,0.004033333,0.296666667
19650328,0.0036,0.0143,0.0236,0.0091,0.0195,0.0289,0.0166,-0.0167,0.0041,0.0104,0.0021,-0.0047,-0.0072,-0.0072,0.012,0.0028,-0.0107,-0.0068,-0.0061,0.0009,0.0147,-0.0133,-0.0097,-0.012833333,0.313333333
19650428,0.0031,0.0429,0.0457,0.049,0.0375,0.0413,-0.0031,0.0436,0.0415,0.0436,0.047,0.0244,0.0268,0.0398,0.031,0.0651,0.0258,0.0279,0.0438,0.041,0.0182,0.0305,0.0336,0.030366667,0.323333333
19650528,0.0031,-0.0071,-0.0264,-0.0184,-0.0073,-0.0146,0.0093,-0.0162,-0.0116,-0.0066,-0.0248,-0.0074,0.0004,-0.0179,-0.0111,-0.0093,-0.0128,-0.004,-0.017,-0.007,-0.037,-0.0075,-0.0044,-0.007666667,0.326666667
19650628,0.0035,-0.1258,-0.1105,-0.0981,-0.0832,-0.0987,-0.1069,-0.0869,-0.0936,-0.0878,-0.0848,-0.0709,-0.0961,-0.0879,-0.0884,-0.0871,-0.0689,-0.0696,-0.0811,-0.0893,-0.0877,-0.0554,-0.0519,-0.055133333,0.323333333
19650728,0.0031,0.0206,0.0352,0.0291,0.0206,0.0393,0.0352,0.0097,0.0247,0.0338,0.0404,0.0079,0.042,0.0218,0.0408,0.0442,0.024,0.0278,0.0374,0.0262,0.0611,0.0136,0.0167,0.013466667,0.323333333
19650828,0.0033,0.0227,0.0506,0.0513,0.0354,0.0358,0.0725,0.0357,0.0442,0.042,0.0373,0.074,0.0484,0.0721,0.0321,0.0591,0.038,0.0321,0.0511,0.0273,0.0455,0.0276,0.0309,0.0276,0.33
19650928,0.0031,0.027,0.068,0.0054,0.0369,0.0277,0.052,0.0318,0.0276,0.0443,0.0247,0.0213,0.0424,0.0216,0.0484,0.0429,0.0342,0.0319,0.0144,0.0239,0.0374,0.0288,0.0319,0.028733333,0.316666667
19651028,0.0031,0.0551,0.0865,0.061,0.0532,0.0868,0.0453,0.0553,0.0362,0.0522,0.0505,0.0438,0.0465,0.0547,0.0505,0.0503,0.0391,0.022,0.0299,0.0386,0.0834,0.0262,0.0293,0.026133333,0.316666667
19651128,0.0035,0.0333,0.0597,0.0269,0.0756,0.0617,0.0105,0.0501,0.0392,0.0504,0.0381,0.0357,0.0316,0.0498,0.0249,0.024,0.0304,0.0186,0.0347,0.0105,0.0529,-0.0005,0.003,-0.000233333,0.323333333
19651228,0.0033,0.0622,0.0654,0.0258,0.0369,0.0451,0.0336,0.0465,0.0392,0.0219,0.0654,0.0219,0.0111,0.0332,0.0166,0.0517,0.0086,0.0101,0.0093,0.0414,0.0519,0.0102,0.0135,0.0102,0.33
19660128,0.0038,0.0581,0.0628,0.0747,0.0894,0.091,0.0413,0.0502,0.0491,0.047,0.0624,0.0422,0.022,0.0237,0.0432,0.059,0.0025,0.0111,0.0464,0.0389,0.0584,0.0083,0.0121,0.008566667,0.353333333
19660228,0.0035,0.0609,0.0592,0.0101,0.0439,0.0562,0.0478,0.0493,0.0156,-0.0045,0.0307,-0.0039,0.0164,0.0382,0.0228,0.0228,0.0195,-0.0251,0.0041,0.0014,0.0217,-0.0121,-0.0086,-0.012133333,0.353333333
19660328,0.0038,-0.0006,-0.0131,-0.0201,-0.0128,-0.0149,0.0003,-0.0223,-0.0247,-0.0396,-0.0213,-0.0201,-0.0513,-0.0259,-0.0387,-0.0414,-0.0047,-0.0261,-0.0388,-0.0305,-0.0326,-0.0247,-0.0209,-0.0246,0.37
19660428,0.0034,0.0972,0.04,0.0581,0.0643,0.0334,0.0277,0.0485,0.0333,0.0731,0.0825,0.0317,0.0384,0.0283,0.0376,0.025,0.0368,0.0141,0.0345,0.0431,0.0076,0.0214,0.0248,0.021233333,0.356666667
19660528,0.0041,-0.1275,-0.1322,-0.1121,-0.11,-0.1201,-0.1027,-0.1052,-0.0928,-0.1028,-0.0945,-0.0615,-0.0776,-0.0829,-0.1045,-0.1014,-0.0551,-0.0545,-0.0759,-0.0902,-0.1092,-0.0566,-0.0525,-0.056266667,0.376666667
19660628,0.0038,-0.0133,-0.0048,0.0048,0.0131,-0.0008,0.0111,-0.0002,-0.0011,-0.0105,-0.0016,-0.0069,-0.0067,0.0213,-0.0063,-0.0111,-0.0145,-0.0183,-0.0056,0.0341,0.0046,-0.0141,-0.0103,-0.014066667,0.376666667
19660728,0.0035,-0.0234,-0.0231,-0.0279,-0.0028,-0.0139,-0.0386,-0.0129,-0.0146,-0.0198,-0.0204,-0.0132,-0.022,-0.0113,-0.0144,-0.0163,-0.0135,-0.0172,-0.0226,-0.0298,-0.0226,-0.0164,-0.0129,-0.0167,0.38
19660828,0.0041,-0.1207,-0.1127,-0.1029,-0.1119,-0.1084,-0.1362,-0.1065,-0.0996,-0.1016,-0.1132,-0.1099,-0.0913,-0.0853,-0.102,-0.0919,-0.0977,-0.0808,-0.083,-0.0732,-0.1053,-0.0795,-0.0754,-0.0792,0.38
19660928,0.004,-0.0209,-0.0274,-0.0199,-0.023,-0.0159,-0.0242,0.0044,-0.0259,-0.0227,-0.0249,-0.0266,-0.05,-0.0013,-0.0089,-0.0149,-0.0133,-0.0025,-0.014,-0.0361,-0.0042,-0.011,-0.007,-0.010866667,0.386666667
19661028,0.0045,-0.0841,-0.0513,-0.0502,-0.0142,-0.0193,-0.0608,-0.0089,-0.0138,-0.0026,-0.0066,-0.025,0.0119,0.0275,0.0436,0.012,-0.0007,0.0452,0.0329,0.0349,0.0103,0.0378,0.0423,0.0381,0.42
19661128,0.004,0.0832,0.0267,0.0425,0.0181,0.0329,0.0733,0.0231,0.0721,0.0135,0.0226,0.0942,0.0634,0.0068,0.0422,0.0009,0.0796,0.0088,0.0089,0.0152,0.0071,0.0135,0.0175,0.013333333,0.416666667
19661228,0.004,0.0376,0.021,0.021,0.0053,-0.0028,0.0434,0.0264,0.0067,0.017,0.0031,0.0264,0.0295,0.0041,0.0269,-0.0088,0.0277,0.0191,0.0119,0.0328,0.0179,0.0022,0.0062,0.002033333,0.416666667
19670128,0.0043,0.19,0.2083,0.1898,0.1974,0.1714,0.1654,0.1561,0.1757,0.1693,0.2,0.1676,0.1339,0.1203,0.1292,0.1394,0.0938,0.0625,0.1002,0.1053,0.129,0.0812,0.0855,0.0814,0.41
19670228,0.0036,0.0687,0.0525,0.05,0.042,0.0559,0.0287,0.0162,0.0216,0.0259,0.0127,0.0153,0.0159,0.0151,0.0041,0.0049,0.0251,-0.0077,-0.0055,0.0073,0.0004,0.0074,0.011,0.007033333,0.396666667
19670328,0.0039,0.0665,0.0585,0.0458,0.0709,0.0484,0.065,0.0551,0.0701,0.0606,0.0585,0.0521,0.0517,0.0426,0.0735,0.0393,0.0531,0.0388,0.0537,0.0409,0.0532,0.0395,0.0434,0.039466667,0.393333333
19670428,0.0032,0.0642,0.0418,0.0299,0.0369,0.033,0.029,0.0332,0.0488,0.035,0.03,0.052,0.0414,0.0284,0.0515,0.026,0.0638,0.0266,0.0395,0.0301,0.0292,0.0384,0.0416,0.038033333,0.356666667
19670528,0.0033,0.0002,0.0054,-0.0148,-0.0125,-0.0093,-0.0158,0.0045,-0.0002,-0.029,-0.0385,-0.0348,-0.019,-0.0212,-0.0025,-0.0212,-0.026,-0.0088,-0.0244,-0.0169,-0.0091,-0.0426,-0.0393,-0.042766667,0.346666667
19670628,0.0027,0.1547,0.0945,0.1174,0.1193,0.0984,0.0996,0.0592,0.0703,0.0923,0.0562,0.0453,0.0794,0.0375,0.0427,0.0341,0.0274,0.0203,0.0346,0.0646,0.0609,0.0242,0.0269,0.023833333,0.306666667
19670728,0.0032,0.0917,0.0961,0.0931,0.067,0.1171,0.0585,0.065,0.0918,0.0921,0.0793,0.0506,0.0485,0.0561,0.0687,0.1105,0.0439,0.0448,0.0483,0.0682,0.0881,0.046,0.0492,0.046133333,0.303333333
19670828,0.0031,-0.0116,0.0045,0.0001,0.0007,0.0179,-0.0149,-0.0162,0.0037,0.0009,0.0079,-0.0334,0.0075,0.0091,0.0091,-0.0061,-0.0124,-0.0123,-0.0095,0.008,0.0362,-0.0093,-0.0062,-0.0092,0.296666667
19670928,0.0032,0.1096,0.0946,0.08,0.073,0.0455,0.048,0.0557,0.0675,0.0518,0.028,0.0534,0.0196,0.0246,0.0432,0.0235,0.0322,0.0124,0.021,0.0315,0.0009,0.0311,0.0343,0.031133333,0.313333333
19671028,0.0039,0.0157,-0.0445,-0.0228,-0.0211,-0.0315,-0.0116,-0.0265,0.0025,-0.0292,-0.0545,-0.0389,-0.0169,-0.0373,-0.0321,-0.0282,-0.0526,-0.0557,-0.0588,-0.0294,-0.0557,-0.0313,-0.0274,-0.0308,0.34
19671128,0.0036,-0.0141,0.0321,-0.0145,-0.0154,-0.0162,0.0072,0.0022,0.0208,-0.0015,-0.0024,0.0233,0.0025,0.003,-0.0063,-0.0128,0.0295,0.0018,-0.0031,-0.0046,-0.0091,0.0043,0.0079,0.004333333,0.356666667
19671228,0.0033,0.1289,0.1035,0.084,0.0966,0.0953,0.1206,0.0595,0.0854,0.0689,0.0879,0.0736,0.0576,0.053,0.0536,0.0677,0.0133,0.0218,0.0388,0.042,0.0367,0.0304,0.0337,0.0301,0.36
19680128,0.004,0.0279,0.0214,0.0256,0.0297,0.0567,-0.0496,-0.0255,-0.0091,0.0073,0.0215,-0.0726,-0.0142,-0.0106,-0.0113,0.0238,-0.0838,0.0008,-0.0346,-0.0025,-0.0113,-0.0403,-0.0363,-0.039933333,0.363333333
19680228,0.0039,-0.1051,-0.0742,-0.0574,-0.0775,-0.056,-0.0711,-0.0662,-0.0931,-0.0372,-0.0603,-0.0727,-0.0434,-0.0308,-0.028,-0.0496,-0.0583,-0.0373,-0.0302,-0.0538,-0.0462,-0.0375,-0.0336,-0.037333333,0.373333333
19680328,0.0038,-0.019,-0.004,-0.0069,-0.0256,-0.0037,-0.0076,-0.0232,-0.0055,-0.0152,-0.0102,0.0163,-0.0076,-0.0271,0.0035,-0.0056,-0.0016,-0.0048,-0.0171,-0.0016,-0.0036,0.0013,0.0051,0.0012,0.39
19680428,0.0043,0.2114,0.1736,0.1582,0.162,0.1486,0.1854,0.1246,0.1729,0.118,0.1222,0.157,0.1095,0.0771,0.1026,0.1736,0.1224,0.0679,0.082,0.1163,0.1109,0.0898,0.0941,0.0901,0.4
19680528,0.0045,0.0992,0.1231,0.1007,0.1135,0.1141,0.1145,0.0726,0.0738,0.0713,0.0656,0.0834,0.0422,0.0441,0.0444,0.0654,0.0402,0.0409,0.0229,0.0233,0.0583,0.0225,0.027,0.0228,0.42
19680628,0.0043,-0.0167,-0.0055,0.0126,0.0126,-0.0004,-0.0157,0.013,-0.0179,0.0109,-0.0014,-0.0243,0.0242,0.0297,0.015,0.0098,-0.0056,0.0387,0.0329,0.0245,-0.0292,0.0072,0.0115,0.007133333,0.436666667
19680728,0.0048,-0.0532,-0.0516,-0.0381,-0.0203,0.0026,-0.0935,-0.0448,-0.0238,-0.0059,-0.0081,-0.0639,-0.0414,-0.0422,-0.0124,-0.0067,-0.0595,-0.0404,-0.0414,-0.0183,-0.0269,-0.0268,-0.022,-0.026533333,0.453333333
19680828,0.0042,0.0399,0.0547,0.038,0.0437,0.042,0.0115,0.0297,0.0336,0.0102,0.0676,0.0256,0.0266,0.027,0.0176,0.0454,0.0145,0.008,0.0159,0.0151,0.0276,0.0138,0.018,0.013566667,0.443333333
19680928,0.0043,0.0671,0.0807,0.0637,0.0551,0.0575,0.0666,0.0592,0.068,0.0542,0.0576,0.0707,0.0579,0.028,0.0573,0.0595,0.0611,0.0563,0.0481,0.0593,0.0526,0.0402,0.0445,0.040066667,0.443333333
19681028,0.0044,-0.0232,-0.0041,0.0105,0.0005,0.0136,-0.0074,0.0028,0.0158,0.0162,0.004,-0.0065,0.0212,0.0258,0.0223,0.0036,-0.0076,0.0006,0.0181,0.0037,0.0208,0.0046,0.009,0.0047,0.43
19681128,0.0042,0.0611,0.0716,0.0586,0.0625,0.0657,0.0966,0.0868,0.0741,0.0888,0.055,0.0794,0.0665,0.0765,0.0901,0.073,0.0642,0.0749,0.0676,0.0671,0.0806,0.0543,0.0585,0.0542,0.43
19681228,0.0043,0.0403,0.0177,0.0028,-0.0085,0.0013,-0.0053,0.0017,-0.0186,-0.0376,-0.0392,-0.0304,-0.044,-0.017,-0.0027,-0.0328,-0.044,-0.0495,-0.0422,-0.0185,-0.0095,-0.0382,-0.0339,-0.0382,0.43
19690128,0.0053,-0.013,-0.0259,-0.0288,-0.0185,-0.0188,-0.0322,-0.0156,-0.0189,0.0078,0.0003,-0.0391,-0.0163,-0.0136,-0.0136,-0.0174,-0.0263,-0.0022,-0.005,-0.0114,0.0075,-0.012,-0.0067,-0.0113,0.46
19690228,0.0046,-0.1291,-0.1115,-0.094,-0.0928,-0.09,-0.1151,-0.0853,-0.0503,-0.0808,-0.0794,-0.0985,-0.0878,-0.0656,-0.0746,-0.0624,-0.086,-0.08,-0.0526,-0.0787,-0.0926,-0.0582,-0.0536,-0.058333333,0.473333333
19690328,0.0046,0.0275,0.021,0.029,0.0381,0.0183,0.0376,0.0121,0.0177,0.0013,0.0476,0.0152,0.0193,0.0014,0.0227,0.0225,0.0431,-0.0261,0.0243,0.0099,0.0306,0.0259,0.0305,0.025666667,0.483333333
19690428,0.0053,0.0072,-0.0106,0.0044,0.0199,-0.0047,0.0103,0.0063,0.0057,-0.0087,0.0405,0.0178,-0.0049,-0.0018,0.0146,-0.0006,0.0222,0.0182,0.0014,-0.0198,0.0159,0.0152,0.0205,0.015666667,0.483333333
19690528,0.0048,0.0033,0.0046,0.0027,0.0039,-0.0017,-0.0243,-0.0198,-0.0126,-0.0078,0.0002,-0.0043,-0.0005,0.0077,0.0107,-0.0234,-0.0075,-0.0143,0.0198,-0.0015,-0.0279,0.0002,0.005,0.0001,0.49
19690628,0.0051,-0.1481,-0.1334,-0.1381,-0.133,-0.1261,-0.1267,-0.1153,-0.0965,-0.109,-0.1157,-0.108,-0.0988,-0.1177,-0.1026,-0.0953,-0.0762,-0.0925,-0.0856,-0.0789,-0.0885,-0.0725,-0.0674,-0.072466667,0.506666667
19690728,0.0053,-0.1379,-0.1163,-0.1165,-0.1088,-0.0845,-0.1113,-0.1039,-0.0897,-0.0713,-0.089,-0.1051,-0.113,-0.0701,-0.0667,-0.0815,-0.0716,-0.087,-0.0763,-0.0607,-0.0721,-0.0705,-0.0652,-0.070266667,0.506666667
19690828,0.005,0.0436,0.0433,0.0471,0.0268,0.0226,0.0669,0.0604,0.034,0.029,0.0216,0.0914,0.0798,0.0651,0.0205,0.051,0.0942,0.0511,0.0422,0.0308,0.0187,0.0465,0.0515,0.046366667,0.513333333
19690928,0.0062,-0.0345,-0.0551,-0.057,-0.029,-0.0407,0.0069,-0.0133,-0.0239,-0.0154,-0.0204,-0.0048,-0.0055,-0.0215,-0.0351,-0.0423,-0.0004,-0.0223,-0.0291,-0.0358,-0.0439,-0.0288,-0.0226,-0.0281,0.55
19691028,0.006,0.1398,0.1177,0.0854,0.0734,0.0573,0.1031,0.0762,0.0645,0.0542,0.0636,0.084,0.0618,0.0678,0.0763,0.0628,0.0835,0.0706,0.0729,0.0561,0.0475,0.0496,0.0556,0.049866667,0.573333333
19691128,0.0052,-0.0913,-0.0799,-0.0668,-0.065,-0.079,-0.04,-0.0618,-0.0365,-0.0565,-0.0584,-0.0519,-0.0488,-0.0717,-0.0404,-0.0606,-0.0265,-0.0433,-0.0378,-0.0582,-0.067,-0.0374,-0.0322,-0.038,0.58
19691228,0.0064,-0.0876,-0.0829,-0.0642,-0.089,-0.0928,-0.0468,-0.0659,-0.0801,-0.0665,-0.0652,-0.0373,-0.0227,-0.048,-0.0556,-0.0573,-0.0022,-0.0495,-0.0255,-0.0242,-0.0406,-0.0261,-0.0197,-0.025566667,0.586666667
19700128,0.006,-0.0491,-0.0453,-0.0485,-0.0302,-0.005,-0.0753,-0.0701,-0.0248,-0.0454,-0.0239,-0.1025,-0.0709,-0.0861,-0.0468,-0.04,-0.0853,-0.1203,-0.0816,-0.0676,-0.0599,-0.0793,-0.0733,-0.079166667,0.586666667
19700228,0.0062,0.0164,0.0292,0.0317,0.0251,0.0365,0.0235,0.0228,0.0183,0.0797,0.0641,0.0357,0.0149,0.052,0.0514,0.0674,0.0369,0.0439,0.058,0.0828,0.0607,0.0505,0.0567,0.0505,0.62
19700328,0.0057,-0.069,-0.0552,-0.0318,-0.0023,-0.0184,-0.0664,-0.0351,-0.0051,-0.0088,0.0015,-0.0441,-0.0108,-0.0177,0.0137,0.0051,-0.0471,-0.0033,0.0061,0.0033,0.0236,-0.0104,-0.0047,-0.010666667,0.596666667
19700428,0.005,-0.2476,-0.1921,-0.1528,-0.1327,-0.1241,-0.2259,-0.1769,-0.1489,-0.117,-0.116,-0.2101,-0.1436,-0.1388,-0.0929,-0.113,-0.1617,-0.1552,-0.1014,-0.1015,-0.0985,-0.1103,-0.1053,-0.110933333,0.563333333
